,Title,Corpus
24,Amazing food & cozy ambiance,Me and my boyfriend went to this cute restaurant to celebrate our 5 year anniversary. The vibe was incredibly cute and the food was so delicious! I can't rave enough about how good the food is. The service was excellent as well. We will be...
25,Brilliant Little Find!,"We had no idea what we wanted for dinner as we sat on the ""Patio"" at the Kensington pub. My friend mentioned the Vero in Kensignton as a place to go but had not actually visted......tried to book on Open Table to no avail, ended..."
26,Dinner for 4 take out!,The food was delicious and there was plenty of food! It was wonderful as always. Having the curbside pickup is a great way to facilitate being able to enjoy great food.
27,Amazing take out - great value,"We have not eaten at Vero in quite a while but have been having their takeout on several occasions. It is wonderful. Last night we had dinner for two - fried chicken - brilliant (didn't think you could say that about this dish), their steak..."
28,Best Restaurant Ever!,"I have loved this restaurant for a long time, especially the steak frites. We have ordered the pick up dinner special a few times for our family of 4 and it is amazing! The food is so good and the portions are so big that..."
29,Take out dinner is Amazing!!!!!!,So this is a restaurant that my husband and I really enjoy. One of our favourite in Calgary. Today I got this email about a take out dinner and got intrigued by it. I called and ordered a dinner for 2. The entire experience from...
30,Great spot for brunch,Delicious and great atmosphere. I have come here for dinner before but came for brunch and will DEFINITELY be coming back. What a great experience. I love this restaurant
31,Amazing food,Amazing food and nice ambience . The seafood platter was really good and so was the bolognese pasta . I ordered the mango cheesecake for desert and it was fantastic
32,Amazing for Takeout Too!,Vero is one of our favourite restaurants in town - we've always really enjoyed the food and service. During the pandemic we've ordered takeout from them a couple of times as well and the food is just as fabulous. The specials they have every night...
33,Best restaurant in Calgary,"I highly recommend having a meal at Vero Bistro Moderne. The food is second to none, especially when considering the price point. The service is outstanding , we go to this restaurant about 2-3 times per year and now find ourselves catching up with our..."
34,Vero Bistro is a must!,"Vibrant atmosphere. Fabulous food. Excellent service. This is a great place to meet friends and definitely a destination for foodies. I hadn’t gone out for awhile because the Calgary food scene seemed to have deteriorated along with the economy. Well, I stand corrected (about the..."
35,The sense of exclusivity,"Quaint space, great for romantic/intimate settings, definitely gives a sense of exclusivity. I had the sweet potato gnocchi, the steak/frites, and a gelato/espresso combo for dessert. The food was simply outstanding and the service just as good. Only drawback: they don't take Amex (yet) -..."
36,Vero bistro mederne,"Ambiance and the food was excellent, great service . Will definitely go back. They had suggested a brunch on Sundays"
37,Awesome Food and Service,"Went there for hubby's birthday dinner. Has to be Calgary's finest Italian restaurant! Outstanding food, atmosphere and service. OUr boys enjoyed their seafood stew and Pasta. Hubby and I love the Steak and Frites. Chad and Jody are amazing! If you want the best, Vero..."
38,Beautiful and yum!,"Fresh, quality ingredients to create, innovative, delicious food. Service absolutely lovely. Brunch was fresh and beautiful."
39,Lovely anniversary celebration,The experience was great from start to end. Our waiter Chad was attentive and friendly. The atmosphere was friendly and classy. Small place with a lot of charm. We had complimentary sparkling wine for our anniversary celebrations. The meal Was amazing. My boyfriend had the...
40,Anniversary dinner,An intimate setting with wonderful service and outstanding food. Be prepared for $150 for dinner for 2 with a drink each and a tip. It's wonderful value and a great place to go for a special meal.
41,Brunch,"This place is amazing, I always have excellent food and service. It is definitely a must try in Calgary!"
42,It was good all around.,It was good all around. Fresh pasta and good environment. Reservations a must. Be prepare for a small space.
43,Best Brunch Ever! Special Occasion!,We had an amazing time at Vero Bistro Moderne! We were greeted by Dianne who is so personable and awesome! It was for a special occasion and she was so sweet and attentive. Chad was our waiter and gave awesome service! The FOOD was spectacular!...
44,Brunch,"Brunch item was excellent, potatos especially tasty and crunchy. But you really need to invest in a pepper mill!"
45,Fabulous Food and fantastic service,"Received a gift card for Christmas for this gem of a restaurant. Fantastic serviceable hospitality from the time you enter, through your stay and departure. The food was fabulous starting with the scallops, too the main course of steak and frites for myself and lobster..."
46,Tasty food and great service,I really enjoyed dinner here! Food was delicious! Service was great. The sangria was so delish and a little different than usual. A nice romantic night out!
47,Relax and savor,GThe host Diane was attentive and made personal suggestions for a wine I would enjoy. She was lovely to speak to. The food was elegant with fresh ingredients. It is a nice relaxing ambiance where you can savour your meal. I have heard wonderful things...
48,Fabulous evening dining al fresco,Such a lucky evening for us! My brother was visiting from overseas. We decided to eat out on his last night here. It happened to be a Tuesday (special chef’s tasting menu) and the weather was warm enough by sit on the patio until 10pm!...
49,"Great Food, Great Service","Staff was friendly, seating was comfortable, food was absolutely delicious. We had steak and frites, the pork chop, and the lobster pasta. All were excellent. Highly recommended."
50,Surprised about all the 5 star reviews,Food was good. Small room with an ok atmosphere. Maybe it was an off night. I'll try some other places in town instead of eating here again.
51,Amazing food and service,"Vero's bistro is one of the best restaurants to eat in town; I always look forward to my weekend brunch there. The experience does not stop at the food however, as both Dianne and Chad provide amazing service, very warm, attentive and professional! I highly..."
52,"Amazing food, amazing service, what more can you ask for?!",This was my 3rd lunch coming with my office co-workers and it is very much recommended. The food is to die for and so is the service. Diane is a lunchtime staple as much as the wonderful food is and we always leave with a...
53,Superb,"Cold morning. Great food, great service, tasty ,beautiful brunch, lots of extra coffee.I will be back soon."
54,Wonderful meal,"It is a cozy restaurant with wonderful food and very good service. I highly recommend it. Being a former Montrealer, this ought to mean something. Forgot to mention a last item: they are honest. The had dropped a few items from a seafood plate (which..."
55,First time Customers,We really enjoyed the special that night which was Beef Tenderloin with Crab stuffed Gnocchi. Wish it was on the regular Menü as it was Fantastic. We also had the salad which was delicious. We would definitely return to this Restaurant
56,Consistently great,"This is by far our favorite restaurant in Calgary as the food is consistently creative and delicious, the staff attentive and customer service focused and ambiance relaxing and comfortable. I am surprised this restaurant is not rated by Avenue as one of the best if..."
57,"Excellent food, excellent service Always","The best food in Calgary!The staff are always warm and welcoming. We ate the gnocchi for starter and the steak for our main which was off the charts, tender and delicious. The tiramisu was amazing."
58,Excellent!,"The food was so delicious! I ordered the feature meal, which was the smoked salmon eggs benedict. All of our orders/presentations of our meals looked beautiful! My friend had some sort of poutine; I can't remember what it was called but on my next brunch..."
59,A must!,EXCELLENT service and great menu. This was absolutely perfect for date night as we were able to stroll the streets just outside afterwards for dessert coffee and ice cream. There is a parking lot within the are and it was super cheap. If you are...
60,Perfection,"Vero Bistro is hands down our favourite restaurant for a night out. Whether it’s trying new items through a set menu and wine pairing, enjoying a favourite dish off the menu, or indulging in a decadent brunch, it’s impossible to go wrong when choosing this..."
61,Lovely NYE food experience,"An all round ""Final ☆Table""night. Service and dishes were excellent. Our first time here but will visit again."
62,Always good food,OMG! Always come here to catch up with friends when home for the holidays. I had the lamb burger and it was soo delicious. Always friendly service. Thank you again!
63,Good food!,Had a really good brunch today. Both salmon and pork are really good here. Highly recommend this place.
64,Intimate Italian Venue,"Managed to reserve a table for 4 because of a cancellation and are so glad we got to eat here. The food was well presented, very tasty and a good amount. The server, Chad, was friendly, obliging and very professional as he served. We were..."
65,Wonderful experience!,"Everything surpassed expectation—the food, the atmosphere and the friendly attentive service. A rare find!"
66,Great food and service,Had a really good brunch with my wife today. Both salmon and pork are really good here. Highly recommend this place.
67,Vero Dinner,Very good service and excellent food. The restaurant is small but cozy and the servers were knowledgeable about the dinner menu. It is a must try in Calgary.
68,Great Service!,A beautiful venue with exceptional service. I have put this on my 'to return to' list! And the food...simply amazing!
69,Vero Bistro Moderne - a new favorite!!,"It was our first time at Vero Bistro - but won't be our last! Service made us feel like we were regular VIP customers. Food was exceptional, wine selection fantastic and attention to detail/our asks was perfect. Thank you for an amazing dinner and evening."
70,Wonderful evening!,"The combination of food and service is excellent! Chef Jenny is a wonderful food artist. She and her husband travel the world and bring ideas and ingredients. From that point, the talent kicks in. The service is also a very nice aspect. Our server chad..."
71,Really really good,"Vero has a reputation as one of the best spots in town and it’s fully justified. Great service, lovely atmosphere, and fantastic food. My wife and I went to celebrate and thoroughly enjoyed ourselves."
72,"All in all, a good experience","As usual the meal was very good. Parking is always a problem especially for any time after 7:00 PM. The service was friendly and prompt, and the selections were sufficient to satisfy all parties. The venue is not large so you might think you are..."
73,Italian Fusion,My husband and I dined here while on vacation in Calgary. Great location that we were able to walk to. Jodi was our server and she was great and very helpful with the menu choices. We started with the meatballs which were delicious and traditional...
74,Good overall,"I came here due to the high rating on TripAdvisor. It's good but I had higher expectations. Very small place which is both bad and good. Food was good, but not amazing."
75,Perfect Evening,The whole dining experience was superb and its easy to see why Vero Bistro receives such high ratings. This was a very special occasion and I visited the restaurant prior to ask for some specific considerations i.e. seating / timing of courses and they happily...
76,That. Was. Amazing!!!!,My boyfriend and I didnt make a booking but we were easily accomodated! Staff were beautiful and looked after us so well! Chad was our server - a legend! Amazing and delicious food - very talented chefs! Just need to move to Australia❤😍
77,Amazing food and service!,We came to this restaurant for the first time for an intimate dinner to celebrate two birthdays. We had the seafood stew and pasta with seafood. Both were excellent. Our server was pleasant and entertaining. We will certainly be back. We were fortunate to find...
78,Superb foodie haven,"Vero is such a find. Tucked away inauspiciously in Kensington, it is one of those places you almost discover by accident. The menu is creative and interesting, and the food itself is sublime. Make no mistake, this is a team that takes food, flavours and..."
79,Great food great service!,It was our first time to Vero. We really enjoyed the food and the service was great. We’ll definitely go back and have recommended Vero to others.
80,Awesome Brunch!,Took some out of town guests here for brunch. I’ve been many times and am never disappointed. The Benny’s are the best with the bison bacon and shrimp. We also ordered the gnocchi skillet and that was excellent too!
81,lots of hype. not a lot of substance,"Had reservations, and high expectations. Seated quickly, had trouble getting a waiter. Were handled by hostess, then house manager? , and then a waiter. Its a tiny place, and the staff were tripping on themselves but rarely stopped by our table in the middle of..."
82,Chef’s dinner,The chef’s dinner was wonderful. We have also eaten there al la carte and found that great also. Would highly recommend.
83,Neighbourhood Gem,I have gone to Vero Bistro 3 times and the restaurant never disappoints. The restaurant is small and the atmosphere is cozy. the food has always been good. Italian delight and if I am in the Kennsington area it is one of my first go...
84,They don’t welcome toddler,"I wish this was clearly stated on their website or in opentable. I made the reservation in opentable and noted that I need a high chair. When I get there and ask for a high chair, the waiter said “we don’t have this kinda thing”...."
85,Good food,"perfectly seasoned meats, and the cheese bread was amazing! Best meal we have had on our trip to Canada from the US."
86,Outstanding Service,"Came to Vero for my mom's birthday dinner. The food was absolutely delicious and we all loved the cozy little vibe, but truthfully, the highlight of the evening was the service. Jeremy was truly outstanding. After many years of working in the industry and eating..."
87,Amazing!!!!! A hidden gem 💎 in Calgary,"Wauw what a food! If you see the place from the outside, don’t know that behind these doors is a Hidden Gem 💎 . As I have skipped breakfast, so was looking fir a brunch/lunch place. My dreams cane try. Ordered the signature special off..."
88,Leisurely Brunch,"Diane and Chad were awesome! The food here is fabulous, lattes amazing and the mimosas are the icing on the cake. Look forward to coming back. Thanks for a brunch that made the weather an after thought."
89,Excellent service and the food was satisfying,I would definitely recommend Vero Bistro for your to go brunch place! Such a nice service with decent price. The portion was pretty big and they created a unique aspect to the benny by using croissants instead of english muffins! I highly recommend making a...
90,Best dining experience of my life!,"This restaraunt was the best dining experience my wife and I have ever had. The food was amazing, and the service was incredible. We made reservations to eat here not knowing the seating situation. We were surprised at how small the dining area was. But..."
91,No Complaints,"We dined here in March of this year. All in all, we enjoyed it. The service was nice, the food was well presented and delicious. We liked the small, more quaint feeling of this place. Although we liked it, we still can’t articulate why we..."
92,A wonderful date night with my girlfriend at a amazing restaurant,My girlfriend and I had an outstanding dinner at Vero. It was Wednesday so I had the steak and my gf had the seafood risotto. The steak was the most tender cut I have tasted and the appitizer with salad was so fresh and the...
93,Amazing anniversary dinner,"We were in Calgary for one night which happened to be our first wedding anniversary. This meal has set the bar for all anniversaries to come. The Burrata cheese starter was exquisite, and when the chef told us that they were out of our requested..."
94,Great Lunch spot!,Excellent menu and the food was delicious. Service was excellent too! Wonderful dining experience! Definitely give this place a try! You won't be disappointed!
95,Great food and service,Have eaten here a bunch. All the food is fantastic and the service is good. Only tiny complaint is it’s small and a little tight but that’s what happens when so many people want your great food.
96,Epic!!,Hands down the best breakfast in the city. Food presentation is spectacular. Flavorful and Delicious! You won’t be disappointed.
97,Amazing dinner!,Food was amazing! We did the chef's choice! Best decision! Everything they brought out we loved! I highly recommend this place !
98,Great Food,Jody greeted us at the front door and made us feel at home right away (she subsequently provided outstanding service as our waitresses). The restaurant is owned by Jenny and Michael with Jenny as the chef and Michael out in front. Michael introduced himself to...
99,Brunch in the Sun,Last minute brunch date. We enjoyed the food and the lovely sunny day on the patio. The staff were outstanding.
100,Décevant,"We ordered pici ‘Bolognese’ and tagliatelle with Lobster and Shrimps. First of all the pasta where not pici and not tagliatelle. Both plates were served with a sort of mafaldini. On the plate with tagliatelle, Lobster and Shrimps, there was no lobster. After asking the..."
101,Fantastic Dining!!!,We are global foodies who are thrilled that many of our top dining experiences have been here at home in Calgary! Jenny and Michael never cease to amaze my husband and I with their creativity and high standards. The service staff are always professional...a pleasure...the...
102,40th Wedding Anniversary,A dinner celebration with friends. Dinner was amazing from start to finish. Will return. A favourite
103,A FABULOUS Dining Experience!!!,"What can I say other than the food was delectable and the service awesome. Jeremy, our server was absolutely top notch!!! He was very patient with us, it being our first time to the Bistro and to Calgary. He definitely made our evening! He was..."
104,Best dinner out yet - as it was our 50th wedding anniversary,"We arrived a few minutes late for our reservation to find out they couldn’t find it. They had room and seated us immediately and soon found our misplaced reservation. No problem as they were very apologetic. Dinner was over the top delicious, from the appy..."
105,Outstanding food and atmosphere both,No menu tonight. Chef’s specials night. And what a night it was! Steak tartare to start was on the chunkier side and full of great flavours. The agnolotti pasta with veal was delicious. But my friend’s beef with truffle fries was perfection. Great atmosphere. Attentive...
106,Amazing Food and Best Service in Calgary,"We went to Vero this past Saturday evening for our anniversary. This place is nothing less than simply amazing. To start our dinner was amazing, prepared flawlessly and we enjoyed ever bit of it. Now the food is one thing, but now the service. As..."
107,Yummy Bistro inner city,This gem in Kensington area has very yummy food and the staff was amazing! It has an outdoor patio or a nicely decorated interior. Would highly recommend for dinner.
108,"Excellent food, excellent service","The best food we have eaten in Calgary by far. The staff were warm and welcoming. We ate the gnocchi for starter which was the first time I've ever enjoyed gnocchi, and the steak for our main which was off the charts melt in the..."
109,Excellent Food and Service,"I have been to this restaurant multiple times in last few years and have had great food and service. I mostly have been there for dinner and tried the Organic Chicken Supreme infused with medjool dates and the chef keeps sending multiple samplers (Fettuccini, spaghetti,..."
110,Best meal in Canada,"My boyfriend and I visited this restaurant on our last night in Calgary and the final night of our 16 day trip to Canada. It was amazing, we had meatballs to share for starter, I had the gnocchi which was so tasty for main and..."
111,A gem!,"Quaint little place with delicious food, beautiful presentation in a comfortable atmosphere. I have already recommended it to friends."
112,Excellent brunch with quality ingredients!,"We had a birthday brunch for 6. All the dishes were aesthetically pleasing, very delicious, and reasonably priced for the quality and portions. The ingredients were locally sourced and/or organic and you can taste the difference. Excellent and attentive service by Sean. Thank you chef..."
113,Brunch +,Great food great service great ambience. We really enjoyed the original take on Eggs Benny and the lovely waffle dessert.
114,Fabulous food in Calgary,"We wandered in w/o a reservation and were (luckily) seated. The chef is extremely talented - - the servers were attentive and the food DIVINE. We had the best pasta dish we've had in months, plus an interesting amuse bouche, salad and TWO desserts (one..."
115,Nice food and friendly Staff,We went as a family of four to this place for dinner and loved their pasta and tiramisu desert. The chief also gave us a complimentary appetizer which was delicious as well. The presenting is good and the staff is friendly. Will go back again....
116,"Excellent service, but found the one dish confusing","The service was amazing, very friendly and welcoming! My daughter and I had the prix fixe lunch set, both starting with the lemon ricotta crostini, then our mains were Pici and the Signature Seafood Stew. The lemon ricotta crostini was a bit light on the..."
117,Amazing Anniversary Brunch,Attractive and amazing food. Flavours were fantastic. Decently priced for what you got. Had the Maple Pork Benny and wife had Sweet Potato Gnocchi and we shared the sourdough French toast. Ate every bite! Server was also great. Will definitely be back to try more...
118,My Birthday Lunch celebration,"I just love this place, the food is amazing, everything is fresh, organic, super tasty, beautiful presentation, there hasn’t been not even one time that I didn’t like what I ordered. You will love everything in the menu and the specialty of the day. Try..."
119,Vero Bistro is amazing!,Delicious! Beautiful calm ambiance. Definitely recommend this restaurant to all. Thank you for sharing your talent and love of cooking with others!
120,Exceeded high expectations!,"On a recent business trip to Calgary, I searched TripAdvisor for a restaurant recommendation. Vero bistro turned up as the number one restaurant. I called to see if they could see me and they replied they could without a reservation. They served up and excellent..."
121,A real gem!,"This was our last night in Alberta after spending a week in Calgary, Banff, and Jasper, so we wanted a memorable meal. We definitely found it at Vero Bistro Moderne. The food was absolutely delicious, the service outstanding, and the atmosphere casual and comfortable. We..."
122,Lunch,OMG! Just had the lamb burger from Vero Bistro and it was soo delicious! Tastiest lamb burger I have ever tasted. Thank you again!
123,Romantic honeymoon dinner,"I visited this restaurant with my husband while we were on our honeymoon based on other Trip Advisor Reviews I had seen. The inside of the restaurant was intimate and well decorated and the food was absolutely delicious. We were treated so nicely, with complimentary..."
124,Dinner at Vero,Smaller than we anticipated but the food and service was excellent! Very attentive staff with great recommendations when we had questions regarding the menu. So many flavors in their items! Would highly recommend for anyone looking for dinner in downtown Calgary.
125,Dinner at the Bistro,Excellent food and original recipes.The outdoor patio was very pleasant and the service excellent too.
126,Wow,"This is a pretty small restaurant so I highly recommend reservations. Very quaint and romantic restaurant. My family and I came here on my daughters research and we are glad we did. Great menu, great service, thank you Michael. Everything was excellent from the starters..."
127,Unbelievable Experience,"Went on my honeymoon with my wife and was treated with good service, great food, at a modest price. A must-do for anyone traveling through Calgary"
128,Excellent staff and really tasty food!,My wife and I have been to Vero twice now. Both times the staff has been amazing (we actually had the same waitress.) The food is spectacular!
129,"Outstanding, As Always","We were at the restaurant on a Tuesday, which meant we had the fixed menu (although you do get three choices of entree to augment the chosen for you appetizer and dessert). The service was excellent and the food simply outstanding."
130,Modern Italian,If you are looking for a fantastic Italian feast this is the place to go. It is very modern and the food is very savory and well prepared. Compliments to the chef.
131,Last minute dinner in Calgary,"We finished visiting the Lilac Festival downtown Calgary...at the end of our Alberta vacation and checked TA to see what was nearby, good and local. Vera Bistro Moderne was truly an excellent experience. We stopped by without a reservation and saw that the small, cozy..."
132,Exquisite wine dinner by Chef Jenny,Sunday evenings Vero has free corkage so you can bring your own wine at no cost for the first bottle. I had called a week ahead to see if Chef Jenny could create a dinner for our group that would pair well with our wine....
133,Cannot beat the standard Vero standard,"I’m a regular of Vero and I do like eating out a lot, when I eat out at other restaurants I really wonder why they can’t match the Vero standard. From the warm professional service to obviously the tasty creations of Chef Jenny. The Vero..."
134,Best Resturant in Calgary,Vero is one of Calgary’s best restaurant! The food is mouth watering. The service is outstanding and the atmosphere is fantastic
135,Wow. Loved it.,It’s a smaller restaurant. 45 ppl max. The food was stellar. Service on point and the overall experience was what will bring us back.
136,"Incredible food and service, ill definately be a frequent visitor.",Awsome array of flavours and textures. the staff were friendly and the owners came out to see how the food was tasting.
137,Terrible dinner at Vero Bistro,"I don’t know how this restaurant gets good reviews. I’ve wanted to try it for a long time and got the opportunity tonight. What a major disappointment. The service was terrible. I was with my teen children and didn’t want to order wine, so all..."
138,One of Calgary’s best brunch spots.,"My first time and it was awesome. The food, the service and the music. It was a fantastic experience. Try it out."
139,Excellent food and service,"It was the first time to Vero Bistro for my hubby and I. Our daughter had been many times before and loves it, so we took her for her birthday. Food and service was excellent! Our waiter was attentive and had great recommendations. We don’t..."
140,Primo!,"Best brunch place on the weekends! They got salmon egg Benedict, bison sausage egg Benedict, smoke meat egg benedict,parmesan truffle fries and other delicious items. But that glazed honey crispy bacon u can order on the side is ridiculously addicting. You just need to go..."
141,Our favorite place,We love the food and the service is excellent. This is our favorite place for all special occasions.
142,Wonderful meal,"Visited last week, went on a Tuesday but Chef Jenny was so nice to make us the seafood platter. So much food and so delicious. Wonderful meal with family."
143,Best Place for Brunch in Calgary,"One of, if not the best, place for brunch in Calgary. I have had a lot of eggs benedict in my day, and I would have to say the Berkshire Pork Milanese benny here was the best I’ve ever had. Everything about that dish complimented..."
144,Absolutely Delicious!,Everything from presentation to atmosphere to knowledgeable and friendly servers! Vero was so delicious! We had the gnocchi and the seafood stew - very hard to choose from the menu as I wanted everything! The cotton candy fois gras was a treat from the chef...
145,Never disappointed,Have been a twice now once for dinner and once for brunch. Both meals were excellent and far exceeded my expectations.
146,Excellent food!,I had heard great things about Vero Bistro before my visit and managed to secure a table for my boyfriend and I for their Steak & Frites Wednesday special - a 7oz 28 day AAA grass fed steak with chimichurri butter on a bed of...
147,Amazing everthing,"Food and atmosphere are amazing. I have been both times and unfortunately, both times my reservation was not actually put in their system, but that's ok. The menu changes and the chef is fantastic! Great vibe and incredible food."
148,Awesome food!,Hit this place for brunch as we were walking by - looked amazing from the people eating outside - and we were not disappointed. The servings were presented masterfully and the dishes super tasty!
149,Outstanding!!,"Chef Jenny always makes you feel special, we keep coming back for more and are always delighted. The food was incredible and the service outstanding. This is one of our favourite Calgary gems."
150,Amazing,All the food was delicious. Would definitely come back here again. I recommend this restaurant to anyone who expects the best.
151,Wonderful Birthday 's Dinner!,"My Birthday was on a Tuesday night. I decided to experience 'L'Inconnu"" (The Unknown), there is no menus on Tuesdays and for only $45 per person. As well, that night we were also celebrating the Chinese New Year. Let me tell you I was not..."
152,Mr,Service was good Food was good A little bit pricey for a bistro Atmosphere mediocre All in all a good little spot
